年月日时分	站点名称	气温	降水	瞬时风向	瞬时风速	瞬时能见度	相对湿度	瞬时气压	一小时最高气温	一小时最低气温	一小时最大风速	一小时最大风速时风向
201408201550	交大	22.9	0.7	271	2	////	////	////	23.5	22.9	6	308
201408201600	交大	22.8	0.7	333	3.4	////	////	////	23.5	22.8	6	308
201408201610	交大	22.8	0	299	3	////	////	////	22.8	22.7	4.5	302
201408201620	交大	22.8	0	18	1.1	////	////	////	22.8	22.7	4.5	302
201408201630	交大	22.8	0	350	1.9	////	////	////	22.9	22.7	4.5	302
201408201640	交大	22.8	0	333	1.8	////	////	////	22.9	22.7	4.5	302
201408201650	交大	22.8	0	347	2.5	////	////	////	22.9	22.7	4.5	302
201408201700	交大	22.9	0	344	3.2	////	////	////	22.9	22.7	5.1	338
201408201710	交大	22.8	0	310	2.2	////	////	////	22.9	22.8	4.5	322
201408201720	交大	22.8	0	316	3.1	////	////	////	22.9	22.8	4.7	333
201408201730	交大	22.7	0	322	2.7	////	////	////	22.9	22.7	4.7	333
201408201740	交大	22.7	0	299	2.1	////	////	////	22.9	22.7	4.7	333
201408201750	交大	22.6	0.1	313	1.9	////	////	////	22.9	22.6	4.9	330
201408201800	交大	22.5	0.1	71	0.9	////	////	////	22.9	22.5	4.9	330
201408201810	交大	22.4	0	308	1.2	////	////	////	22.5	22.4	2.8	336
201408201820	交大	22.2	0	305	1.8	////	////	////	22.5	22.2	3.8	305
201408201830	交大	22.2	0.1	350	1.6	////	////	////	22.5	22.2	3.8	305
201408201840	交大	22.1	0.2	12	1.2	////	////	////	22.5	22.1	3.8	305
201408201850	交大	22	0.2	7	0.8	////	////	////	22.5	22	3.8	305
201408201900	交大	22	0.2	310	1	////	////	////	22.5	22	3.8	305
201408201910	交大	21.9	0	327	0	////	////	////	22	21.9	1.3	344
201408201920	交大	21.9	0	52	0	////	////	////	22	21.9	1.3	344
201408201930	交大	21.8	0	313	0	////	////	////	22	21.8	1.3	344
201408201940	交大	21.8	0	243	0	////	////	////	22	21.7	1.3	344
201408201950	交大	21.7	0	237	0.6	////	////	////	22	21.7	1.4	282
201408202000	交大	21.7	0	232	0	////	////	////	22	21.7	1.4	282
201408202010	交大	21.8	0	277	0	////	////	////	21.8	21.7	0	277
201408202020	交大	21.9	0	277	1.1	////	////	////	21.9	21.7	2.1	265
201408202050	交大	21.7	0	265	1.1	////	////	////	21.9	21.7	2.3	277
201408202100	交大	21.7	0	277	1.3	////	////	////	21.9	21.7	2.3	277
201408202110	交大	21.6	0	277	0	////	////	////	21.7	21.6	1.7	277
201408202120	交大	21.5	0	277	0.6	////	////	////	21.7	21.5	1.7	277
201408202130	交大	21.5	0	299	0	////	////	////	21.7	21.5	1.7	277
201408202140	交大	21.4	0	263	0	////	////	////	21.7	21.4	1.7	277
201408202150	交大	21.2	0	310	0	////	////	////	21.7	21.2	1.7	277
201408202200	交大	21.1	0	195	0	////	////	////	21.7	21.1	1.7	277
201408202210	交大	21.1	0	285	0	////	////	////	21.1	21.1	0	285
201408202220	交大	21	0	291	0	////	////	////	21.1	21	0	291
201408202230	交大	20.9	0	232	0	////	////	////	21.1	20.9	0	232
201408202240	交大	20.9	0	277	0	////	////	////	21.1	20.9	0	277
201408202250	交大	20.9	0	296	0	////	////	////	21.1	20.9	0	296
201408202300	交大	20.8	0	263	0	////	////	////	21.1	20.8	0	263
201408202310	交大	20.7	0	277	0	////	////	////	20.9	20.7	0	277
201408202320	交大	20.6	0	263	0	////	////	////	20.9	20.6	0	263
201408202330	交大	20.6	0	187	0.3	////	////	////	20.9	20.5	1	251
201408202340	交大	20.5	0	254	0	////	////	////	20.9	20.5	1	251
201408202350	交大	20.5	0	319	0	////	////	////	20.9	20.4	1	251
201408210000	交大	20.4	0	347	0	////	////	////	20.9	20.4	1	251
201408210010	交大	20.3	0	310	0	////	////	////	20.4	20.3	0	310
201408210020	交大	20.3	0	237	0	////	////	////	20.4	20.3	0	237
201408210030	交大	20.2	0	293	0	////	////	////	20.4	20.2	0	293
201408210040	交大	20	0	274	0	////	////	////	20.4	20	0	274
201408210050	交大	20.1	0	288	0	////	////	////	20.4	20	0	288
201408210100	交大	20	0	237	0	////	////	////	20.4	20	0	237
201408210110	交大	19.9	0	243	0	////	////	////	20	19.9	0	243
201408210120	交大	19.9	0	282	0	////	////	////	20	19.9	0	282
201408210130	交大	19.9	0	12	0	////	////	////	20	19.8	0	12
201408210140	交大	19.9	0	251	0	////	////	////	20	19.8	0	251
201408210150	交大	19.8	0	226	0	////	////	////	20	19.8	0	226
201408210200	交大	19.8	0	288	0	////	////	////	20	19.8	0	288
201408210210	交大	19.7	0	293	0	////	////	////	19.8	19.7	0	293
201408210220	交大	19.8	0	229	0	////	////	////	19.8	19.6	0	229
201408210230	交大	19.7	0	102	0	////	////	////	19.8	19.6	0	102
201408210240	交大	19.6	0	268	0	////	////	////	19.8	19.6	0	268
201408210250	交大	19.6	0	218	0	////	////	////	19.8	19.6	0	218
201408210300	交大	19.6	0	308	0	////	////	////	19.8	19.6	0	308
201408210310	交大	19.6	0	248	0	////	////	////	19.6	19.6	0	248
201408210320	交大	19.6	0	285	0	////	////	////	19.7	19.6	0	285
201408210330	交大	19.6	0	263	0	////	////	////	19.7	19.6	0	263
201408210340	交大	19.5	0	274	0	////	////	////	19.7	19.5	0	274
201408210350	交大	19.4	0	310	0	////	////	////	19.7	19.4	0	310
201408210400	交大	19.5	0	263	0	////	////	////	19.7	19.4	0	263
201408210410	交大	19.4	0	285	0	////	////	////	19.5	19.4	0	285
201408210420	交大	19.4	0	263	0	////	////	////	19.5	19.4	0	263
201408210430	交大	19.3	0	282	0	////	////	////	19.5	19.3	0	282
201408210440	交大	19.2	0	88	0	////	////	////	19.5	19.2	0	88
201408210450	交大	19.2	0	175	0	////	////	////	19.5	19.2	0	175
201408210500	交大	19.2	0	189	0	////	////	////	19.5	19.2	0	189
201408210510	交大	19.2	0	158	0	////	////	////	19.2	19.1	0	158
201408210520	交大	19.4	0	147	0	////	////	////	19.4	19.1	0	147
201408210530	交大	19.8	0	189	0	////	////	////	19.8	19.1	0	189
201408210540	交大	20.4	0	167	0	////	////	////	20.4	19.1	0	167
201408210550	交大	20.5	0	153	0	////	////	////	20.5	19.1	0	153
201408210600	交大	20.8	0	353	0	////	////	////	20.8	19.1	0	353
201408210610	交大	21	0	77	0	////	////	////	21	20.8	0	77
201408210620	交大	20.9	0	161	0	////	////	////	21	20.8	0	161
201408210630	交大	21.1	0	195	0	////	////	////	21.1	20.8	0	195
201408210640	交大	21.2	0	178	0	////	////	////	21.3	20.8	0	178
201408210650	交大	21.3	0	316	0	////	////	////	21.4	20.8	0	316
201408210700	交大	21.6	0	43	0	////	////	////	21.6	20.8	0	43
201408210710	交大	21.7	0	277	0	////	////	////	21.7	21.7	0	277
201408210720	交大	21.9	0	133	0	////	////	////	22	21.6	0	133
201408210730	交大	22	0	327	0	////	////	////	22.4	21.6	0	327
201408210740	交大	22.8	0	341	0	////	////	////	22.8	21.6	0	341
201408210750	交大	22.8	0	265	0	////	////	////	22.9	21.6	0	265
201408210800	交大	23.2	0	35	0	////	////	////	23.2	21.6	0	35
201408210810	交大	24.1	0	265	0	////	////	////	24.1	23.3	0	265
201408210820	交大	23.5	0	52	0	////	////	////	24.2	23.3	0.9	218
201408210830	交大	24.4	0	277	1	////	////	////	24.4	23.3	1.6	285
201408210840	交大	24.3	0	237	1.3	////	////	////	24.4	23.3	2.2	274
201408210850	交大	25.3	0	308	0	////	////	////	25.3	23.3	2.2	274
201408210900	交大	26	0	142	0	////	////	////	26	23.3	2.2	274
201408210910	交大	27	0	99	0.9	////	////	////	27	26.1	2	116
201408210920	交大	27.3	0	91	1.1	////	////	////	27.3	26.1	2	116
201408210930	交大	27.8	0	133	1.9	////	////	////	27.8	26.1	2	116
201408210940	交大	27.9	0	108	0.8	////	////	////	28	26.1	2.6	173
201408210950	交大	27.7	0	184	0.9	////	////	////	28	26.1	2.6	173
201408211000	交大	27.9	0.1	150	0	////	////	////	28	26.1	2.6	173
201408211010	交大	28.3	0	139	1.9	////	////	////	28.3	28	2.1	122
201408211020	交大	28.5	0	150	1.8	////	////	////	28.5	28	2.5	150
201408211030	交大	28.7	0	54	0	////	////	////	28.7	28	2.5	150
201408211040	交大	29	0	94	0.6	////	////	////	29	28	2.5	150
201408211050	交大	28.5	0	296	0.3	////	////	////	29	28	2.5	150
201408211100	交大	28.7	0	158	2.1	////	////	////	29	28	3.8	201
201408211110	交大	28.9	0	209	0.3	////	////	////	29	28.8	4	164
201408211120	交大	29.3	0	282	0.8	////	////	////	29.3	28.7	4	164
201408211130	交大	29.4	0	113	1.3	////	////	////	29.7	28.7	4	164
201408211140	交大	29.1	0	187	1.6	////	////	////	29.7	28.7	4	164
201408211150	交大	29.3	0	74	1.3	////	////	////	29.7	28.7	4	164
201408211200	交大	29.1	0	40	0.8	////	////	////	29.7	28.7	4	164
201408211210	交大	28.7	0	178	1	////	////	////	29.1	28.7	2.8	142
201408211220	交大	28.9	0	170	0.4	////	////	////	29.1	28.6	2.8	142
201408211230	交大	29.2	0	156	1.3	////	////	////	29.3	28.6	3.5	187
201408211240	交大	29.1	0	91	0	////	////	////	29.3	28.6	3.5	187
201408211250	交大	29.5	0	156	1.3	////	////	////	29.5	28.6	3.5	187
201408211300	交大	29.8	0	282	0	////	////	////	29.8	28.6	3.5	187
201408211310	交大	29.5	0	60	0	////	////	////	29.9	29.5	2.8	105
201408211320	交大	29.5	0	49	0.5	////	////	////	29.9	29.4	2.8	105
201408211330	交大	29.1	0	80	0	////	////	////	29.9	29.1	2.8	105
201408211340	交大	29.8	0	212	0.6	////	////	////	29.9	29.1	2.8	105
201408211350	交大	30.7	0	153	3.3	////	////	////	30.7	29.1	3.3	153
201408211400	交大	30.7	0	119	1.4	////	////	////	30.7	29.1	3.5	147
201408211410	交大	29.8	0	128	0.8	////	////	////	30.5	29.8	2.7	139
201408211420	交大	30	0	153	0.3	////	////	////	30.5	29.8	2.7	139
201408211440	交大	30.1	0	99	1.6	////	////	////	30.5	29.8	3.6	128
201408211450	交大	29.5	0	113	2.8	////	////	////	30.5	29.5	3.6	128
201408211500	交大	29	0	139	2.4	////	////	////	30.5	29	3.8	156
201408211510	交大	28.5	0	113	2.7	////	////	////	29	28.5	3.8	181
201408211520	交大	28.3	0	139	3	////	////	////	29	28.3	3.9	136
201408211530	交大	28.3	0	175	1.6	////	////	////	29	28.2	4.7	122
201408211540	交大	29	0	164	2.1	////	////	////	29	28.2	4.7	122
201408211550	交大	29.2	0	173	2.4	////	////	////	29.4	28.2	4.7	164
201408211600	交大	29.3	0	173	2.2	////	////	////	29.4	28.2	4.7	164
201408211610	交大	29.3	0	153	2.5	////	////	////	29.4	29.3	4	161
201408211620	交大	29	0	156	2.9	////	////	////	29.4	29	4.3	158
201408211630	交大	29	0	184	1.5	////	////	////	29.4	29	4.3	158
201408211640	交大	28.8	0	195	1.8	////	////	////	29.4	28.8	4.3	158
201408211650	交大	28.6	0	184	1.3	////	////	////	29.4	28.6	4.3	158
201408211700	交大	28.4	0	150	2.3	////	////	////	29.4	28.4	4.3	158
201408211710	交大	28	0	139	3.8	////	////	////	28.4	28	4.3	139
201408211720	交大	27.7	0	119	2.2	////	////	////	28.4	27.7	4.3	139
201408211730	交大	27.4	0	161	3	////	////	////	28.4	27.4	4.3	139
201408211740	交大	27.1	0	158	1.9	////	////	////	28.4	27.1	4.3	139
201408211750	交大	26.9	0	142	2.9	////	////	////	28.4	26.9	4.3	139
201408211800	交大	26.5	0	139	1.3	////	////	////	28.4	26.5	4.3	139
201408211810	交大	26.3	0	136	1.8	////	////	////	26.5	26.3	3.9	97
201408211820	交大	26	0	113	1.4	////	////	////	26.5	26	4	139
201408211830	交大	25.7	0	150	1.8	////	////	////	26.5	25.7	4	139
201408211840	交大	25.6	0	139	3.5	////	////	////	26.5	25.6	4	167
201408211850	交大	25.4	0	142	1.9	////	////	////	26.5	25.4	4	167
201408211900	交大	25.3	0	153	2.5	////	////	////	26.5	25.3	4.1	153
201408211910	交大	25.2	0	136	1.9	////	////	////	25.3	25.2	4	170
201408211920	交大	25	0	156	1.8	////	////	////	25.3	25	4	170
201408211930	交大	24.8	0	125	2.1	////	////	////	25.3	24.8	4	170
201408211940	交大	24.8	0	125	1.4	////	////	////	25.3	24.8	4	170
201408211950	交大	24.6	0	108	1.9	////	////	////	25.3	24.6	4	170
201408212000	交大	24.6	0	133	2.8	////	////	////	25.3	24.6	4	170
201408212010	交大	24.5	0	133	1.4	////	////	////	24.6	24.5	3.6	142
201408212020	交大	24.4	0	128	2.6	////	////	////	24.6	24.4	3.6	142
201408212030	交大	24.3	0	130	0	////	////	////	24.6	24.3	3.6	142
201408212040	交大	24.1	0	119	1	////	////	////	24.6	24.1	3.6	142
201408212050	交大	23.9	0	91	1	////	////	////	24.6	23.9	3.6	142
201408212100	交大	23.8	0	133	0.5	////	////	////	24.6	23.8	3.6	142
201408212110	交大	23.6	0	83	0.8	////	////	////	23.7	23.6	1.8	108
201408212120	交大	23.5	0	130	1.7	////	////	////	23.7	23.5	1.8	136
201408212130	交大	23.5	0	139	1.5	////	////	////	23.7	23.5	2.7	142
201408212140	交大	23.6	0	153	1.7	////	////	////	23.7	23.5	2.7	130
201408212150	交大	23.7	0	119	2.2	////	////	////	23.7	23.5	2.9	142
201408212200	交大	23.6	0	156	1.3	////	////	////	23.7	23.5	2.9	142
201408212210	交大	23.6	0	139	1	////	////	////	23.6	23.6	2.3	142
201408212220	交大	23.5	0	133	0.8	////	////	////	23.6	23.5	2.3	142
201408212230	交大	23.5	0	142	1.4	////	////	////	23.6	23.4	2.3	142
201408212240	交大	23.4	0	133	1.3	////	////	////	23.6	23.4	2.6	156
201408212250	交大	23.3	0	147	1.1	////	////	////	23.6	23.3	2.6	156
201408212300	交大	23.3	0	99	0.6	////	////	////	23.6	23.3	2.6	156
201408212310	交大	23.2	0	153	1.2	////	////	////	23.2	23.2	2	147
201408212320	交大	23.1	0	113	0.6	////	////	////	23.2	23.1	2.2	133
201408212330	交大	23.1	0	128	1.2	////	////	////	23.2	23	2.2	133
201408212340	交大	23.2	0	133	2.5	////	////	////	23.2	23	2.7	113
201408212350	交大	23.2	0	111	1.4	////	////	////	23.2	23	2.7	113
201408220000	交大	23.1	0	153	1.3	////	////	////	23.2	23	2.7	113
201408220010	交大	23	0	133	0.8	////	////	////	23.1	23	2	130
201408220020	交大	23.1	0	122	0.9	////	////	////	23.1	23	2	130
201408220030	交大	23.1	0	130	1.6	////	////	////	23.1	23	2.3	122
201408220040	交大	23.1	0	105	0.6	////	////	////	23.2	23	2.3	122
201408220050	交大	23	0	122	0.8	////	////	////	23.2	23	2.3	122
201408220100	交大	22.9	0	99	0	////	////	////	23.2	22.9	2.3	122
201408220110	交大	22.9	0	128	0.8	////	////	////	22.9	22.9	1.4	105
201408220120	交大	22.9	0	74	0	////	////	////	22.9	22.9	1.4	105
201408220130	交大	22.8	0	139	1.3	////	////	////	22.9	22.8	2	133
201408220140	交大	22.8	0	130	1.4	////	////	////	22.9	22.7	2	133
201408220150	交大	22.8	0	130	1.3	////	////	////	22.9	22.7	2	133
201408220200	交大	22.8	0	142	1.9	////	////	////	22.9	22.7	2	133
201408220210	交大	22.9	0	116	0.7	////	////	////	22.9	22.8	1.9	139
201408220220	交大	22.9	0	122	0.9	////	////	////	22.9	22.8	1.9	139
201408220230	交大	22.9	0	150	0	////	////	////	22.9	22.8	1.9	139
201408220240	交大	23.1	0	142	1.1	////	////	////	23.1	22.8	1.9	139
201408220250	交大	22.9	0	105	0.4	////	////	////	23.1	22.8	1.9	139
201408220300	交大	22.8	0	122	0.5	////	////	////	23.1	22.8	1.9	139
201408220310	交大	22.7	0	136	0	////	////	////	22.9	22.7	0.6	130
201408220320	交大	22.7	0	113	0	////	////	////	22.9	22.7	1.1	125
201408220330	交大	22.7	0	63	0	////	////	////	22.9	22.7	1.1	125
201408220340	交大	22.5	0	71	0	////	////	////	22.9	22.5	1.1	125
201408220350	交大	22.5	0	74	0.5	////	////	////	22.9	22.4	1.1	83
201408220400	交大	22.6	0	88	0.8	////	////	////	22.9	22.4	1.3	63
201408220410	交大	22.8	0	139	0	////	////	////	22.8	22.6	1.3	66
201408220420	交大	22.7	0	113	1.3	////	////	////	22.8	22.6	1.8	108
201408220430	交大	22.8	0	68	0.8	////	////	////	22.8	22.6	2	94
201408220450	交大	22.9	0	38	0	////	////	////	23	22.6	2	102
201408220500	交大	22.9	0	94	0	////	////	////	23	22.6	2	102
201408220510	交大	23	0	94	1.4	////	////	////	23	22.9	1.5	102
201408220520	交大	23.1	0	83	0.9	////	////	////	23.1	22.9	2	83
201408220530	交大	23.3	0	97	1	////	////	////	23.3	22.9	2.1	88
201408220540	交大	23.3	0	74	0	////	////	////	23.3	22.9	2.1	88
201408220550	交大	23.4	0	105	1	////	////	////	23.4	22.9	2.1	88
201408220600	交大	23.6	0	91	0.8	////	////	////	23.6	22.9	2.1	88
201408220610	交大	23.7	0	91	0.8	////	////	////	23.7	23.6	2.2	85
201408220620	交大	23.9	0	150	0.5	////	////	////	23.9	23.6	2.2	85
201408220630	交大	24	0	105	1.6	////	////	////	24	23.6	2.8	128
201408220640	交大	24.2	0	97	0.9	////	////	////	24.2	23.6	2.8	128
201408220650	交大	24.4	0	85	1.5	////	////	////	24.4	23.6	2.8	128
201408220700	交大	24.7	0	156	1.2	////	////	////	24.7	23.6	2.8	128
201408220710	交大	24.9	0	94	2.3	////	////	////	24.9	24.7	2.3	94
201408220720	交大	25.1	0	91	1.8	////	////	////	25.1	24.7	2.6	122
201408220730	交大	25.1	0	130	1.8	////	////	////	25.1	24.7	2.6	122
201408220740	交大	25.4	0	46	1.2	////	////	////	25.4	24.7	2.6	122
201408220750	交大	25.7	0	119	2.4	////	////	////	25.7	24.7	3.6	128
201408220800	交大	25.9	0	133	1.3	////	////	////	25.9	24.7	3.6	128
201408220810	交大	26.1	0	125	1.9	////	////	////	26.1	25.8	3.2	153
201408220820	交大	26.4	0	153	2.8	////	////	////	26.4	25.8	3.7	153
201408220830	交大	26.6	0	147	2.3	////	////	////	26.6	25.8	3.9	153
201408220840	交大	26.8	0	142	2.3	////	////	////	26.9	25.8	3.9	153
201408220850	交大	27.2	0	119	2.7	////	////	////	27.2	25.8	3.9	128
201408220900	交大	27.7	0	142	3.1	////	////	////	27.7	25.8	3.9	150
201408220910	交大	28.2	0	105	1.6	////	////	////	28.2	27.8	4.3	164
201408220920	交大	28.7	0	164	2.5	////	////	////	28.8	27.8	4.3	164
201408220930	交大	28.8	0	133	3	////	////	////	29	27.8	4.3	164
201408220940	交大	28.8	0	122	2.3	////	////	////	29	27.8	4.3	164
201408220950	交大	29.1	0	130	1.9	////	////	////	29.1	27.8	4.4	142
201408221000	交大	29	0	102	1.9	////	////	////	29.2	27.8	4.4	142
201408221010	交大	29.6	0	158	2.7	////	////	////	29.6	29.2	4.2	133
201408221020	交大	29.6	0	116	3.3	////	////	////	29.7	29.2	4.3	128
201408221030	交大	29.9	0	139	2.1	////	////	////	29.9	29.2	4.3	128
201408221040	交大	30.2	0	167	2.6	////	////	////	30.2	29.2	4.3	116
201408221050	交大	30.3	0	60	2.2	////	////	////	30.3	29.2	4.3	116
201408221100	交大	30.8	0	178	3.8	////	////	////	30.8	29.2	4.3	116
201408221110	交大	30.8	0	150	3	////	////	////	30.9	30.7	4.2	142
201408221120	交大	31.1	0	128	3.7	////	////	////	31.2	30.7	4.5	125
201408221130	交大	30.5	0	108	3	////	////	////	31.2	30.5	4.7	102
201408221140	交大	31	0	147	2	////	////	////	31.2	30.5	5.3	173
201408221150	交大	31.5	0	150	1.9	////	////	////	31.5	30.5	5.3	173
201408221200	交大	31	0	153	2.3	////	////	////	31.5	30.5	5.3	173
201408221210	交大	31.5	0	201	2.6	////	////	////	31.5	30.9	4.1	133
201408221220	交大	30.6	0	130	2.4	////	////	////	31.6	30.6	4.7	156
201408221230	交大	30.9	0	153	2.7	////	////	////	31.6	30.6	4.7	136
201408221240	交大	30.7	0	209	0.9	////	////	////	31.6	30.6	4.7	136
201408221250	交大	31	0	173	1.7	////	////	////	31.6	30.6	4.7	153
201408221300	交大	31.4	0	175	3.2	////	////	////	31.6	30.6	4.7	153
201408221310	交大	31.1	0	119	4	////	////	////	31.7	31.1	5.9	139
201408221320	交大	31.5	0	130	2.7	////	////	////	31.7	31	6.4	161
201408221330	交大	31.6	0	105	2.1	////	////	////	31.7	31	6.4	161
201408221350	交大	30.5	0	116	2.4	////	////	////	31.7	30.5	6.4	161
201408221400	交大	30.7	0	153	3.4	////	////	////	31.7	30.5	6.4	161
201408221410	交大	30.2	0	161	2.9	////	////	////	30.8	30.2	4.9	142
201408221420	交大	30.2	0	105	1.4	////	////	////	30.8	30.2	4.9	142
201408221440	交大	29.5	0	108	3	////	////	////	30.8	29.5	5	105
201408221450	交大	29	0	108	1.6	////	////	////	30.8	29	5.3	97
201408221500	交大	29	0	119	2.4	////	////	////	30.8	29	5.3	153
201408221510	交大	29	0	142	3.8	////	////	////	29	28.9	5.4	108
201408221520	交大	29.2	0	144	2.4	////	////	////	29.2	28.9	5.6	133
201408221530	交大	29.9	0	119	6.3	////	////	////	30	28.9	7.6	119
201408221540	交大	30.1	0	122	3.3	////	////	////	30.1	28.9	7.6	119
201408221550	交大	29.7	0	111	5.4	////	////	////	30.2	28.9	7.6	119
201408221600	交大	29.8	0	161	4.2	////	////	////	30.2	28.9	7.6	119
201408221610	交大	29.2	0	153	3.5	////	////	////	29.9	29.2	6.6	150
201408221620	交大	28.7	0	77	2.5	////	////	////	29.9	28.7	6.6	150
201408221630	交大	28.4	0	128	2.5	////	////	////	29.9	28.4	6.6	150
201408221640	交大	28.5	0	142	2.2	////	////	////	29.9	28.4	6.6	150
201408221650	交大	28.7	0	105	2.8	////	////	////	29.9	28.4	6.6	150
201408221700	交大	28.6	0	77	4.8	////	////	////	29.9	28.4	6.6	150
201408221710	交大	28.5	0	125	2.3	////	////	////	28.5	28.5	5.3	125
201408221720	交大	28.1	0	116	4.2	////	////	////	28.5	28.1	6.3	139
201408221730	交大	27.7	0	91	3.1	////	////	////	28.5	27.7	6.3	139
201408221740	交大	27.4	0	147	3.1	////	////	////	28.5	27.4	6.3	139
201408221800	交大	27.2	0	108	3	////	////	////	28.5	27.2	6.3	139
201408221810	交大	27.2	0	113	2.5	////	////	////	27.3	27.2	4.2	105
201408221820	交大	27.1	0	46	2.3	////	////	////	27.3	27.1	4.4	139
201408221830	交大	26.9	0	74	2	////	////	////	27.3	26.9	4.4	139
201408221840	交大	26.8	0	119	2.6	////	////	////	27.3	26.8	4.4	139
201408221850	交大	26.7	0	139	2.7	////	////	////	27.3	26.7	4.4	139
201408221900	交大	26.6	0	150	2.2	////	////	////	27.3	26.6	4.4	139
201408221910	交大	26.6	0	139	1.9	////	////	////	26.6	26.6	3.9	122
201408221920	交大	26.4	0	130	2.4	////	////	////	26.6	26.4	4.2	130
